seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
1587452391410057054,1000,250,4,20,4,0.95,0.6,1.0,100,15,5,80,150,1684,0,75,9571,75
6981487927970829177,1000,250,4,20,4,0.95,0.6,1.0,54,19,1,34,196,731,0,50,3682,66
1291614353335998526,1000,250,4,20,4,0.95,0.6,1.0,80,17,3,60,170,1438,0,69,6462,75
2653682588230403378,1000,250,4,20,4,0.95,0.6,1.0,158,17,3,138,92,2829,0,151,13697,72
-4073498790102580064,1000,250,4,20,4,0.95,0.6,1.0,31,19,1,11,219,168,0,25,2039,69
-2337976926817938327,1000,250,4,20,4,0.95,0.6,1.0,98,16,4,78,152,1578,0,100,7722,90
-2534867505507427184,1000,250,4,20,4,0.95,0.6,1.0,147,15,5,127,103,3359,0,140,12881,62
-2783359936481871489,1000,250,4,20,4,0.95,0.6,1.0,65,16,4,45,185,866,0,57,5214,78
8534102438954633803,1000,250,4,20,4,0.95,0.6,1.0,140,19,1,120,110,2974,0,130,10792,76
-8561165446138776150,1000,250,4,20,4,0.95,0.6,1.0,99,18,2,79,151,1697,0,90,6554,79
3944774943623142958,1000,250,4,20,4,0.95,0.6,1.0,125,15,5,105,125,2085,0,115,9724,77
6863203940484857430,1000,250,4,20,4,0.95,0.6,1.0,55,19,1,35,195,879,0,51,3717,80
-9104172834748462737,1000,250,4,20,4,0.95,0.6,1.0,104,13,7,84,146,1694,0,95,6335,104
3381130842442862623,1000,250,4,20,4,0.95,0.6,1.0,81,16,4,61,169,1468,0,70,6565,69
2405497946825752445,1000,250,4,20,4,0.95,0.6,1.0,114,17,3,94,136,2104,0,107,8781,79
-3288751696215473064,1000,250,4,20,4,0.95,0.6,1.0,185,16,4,165,65,3910,0,175,14158,79
-2316385965831702274,1000,250,4,20,4,0.95,0.6,1.0,127,14,6,107,123,2122,0,119,11312,64
-154554882772429731,1000,250,4,20,4,0.95,0.6,1.0,74,17,3,54,176,1121,0,72,5664,69
-8300122462933664158,1000,250,4,20,4,0.95,0.6,1.0,93,15,5,73,157,1313,0,83,6917,76
851362072612144943,1000,250,4,20,4,0.95,0.6,1.0,122,18,2,102,128,2122,0,115,7620,83
-6367793443112215959,1000,250,4,20,4,0.95,0.6,1.0,89,18,2,69,161,1579,0,78,6781,79
4166123358706738882,1000,250,4,20,4,0.95,0.6,1.0,121,17,3,101,129,2315,0,110,10044,71
7426890140891572041,1000,250,4,20,4,0.95,0.6,1.0,140,16,4,120,110,2730,0,136,12316,73
-7847689849647620577,1000,250,4,20,4,0.95,0.6,1.0,147,17,3,127,103,2841,0,141,11720,73
8902965564263650609,1000,250,4,20,4,0.95,0.6,1.0,67,15,5,47,183,1131,0,53,4691,71
4820638006638778002,1000,250,4,20,4,0.95,0.6,1.0,124,20,0,104,126,2015,0,114,10547,96
